split,feature,count,mean,std,min,25%,50%,75%,max,variance
train,query_chars,32115.0,21.30898334111786,9.275721856154034,3.0,15.0,21.0,27.0,84.0,86.03901595273362
train,title_chars,32115.0,111.34513467227153,51.647666224103055,1.0,69.0,104.0,155.0,400.0,2667.4814263963553
train,query_words,32115.0,3.595173594893352,1.6067585884203495,1.0,2.0,3.0,4.0,17.0,2.5816731614625543
train,title_words,32115.0,17.544885567491825,8.261241889941832,1.0,11.0,16.0,24.0,65.0,68.24811756412969
validation,query_chars,7885.0,21.214838300570705,9.902749234668251,3.0,15.0,20.0,27.0,124.0,98.06444240472264
validation,title_chars,7885.0,112.23284717818643,51.34320668033692,5.0,70.0,106.0,155.0,395.0,2636.1248722197934
validation,query_words,7885.0,3.5693088142041853,1.6967368304396373,1.0,2.0,3.0,4.0,24.0,2.8789158717703462
validation,title_words,7885.0,17.6431198478123,8.284818743941074,1.0,11.0,16.0,24.0,67.0,68.63822161995735
test,query_chars,12013.0,22.136934987097312,10.934513321616322,3.0,15.0,21.0,27.0,127.0,119.56358158060482
test,title_chars,12013.0,112.26612836094232,52.350866618743176,4.0,69.0,105.0,158.0,278.0,2740.6132357334386
test,query_words,12013.0,3.6963289769416465,1.9584896376194925,1.0,3.0,3.0,4.0,26.0,3.8356816606629307
test,title_words,12013.0,17.694830600183135,8.366049244917672,1.0,11.0,16.0,24.0,50.0,69.99077996838756
